runid,fillid,starttime
298940,9812,2024-06-22 09:38:42+00:00
298937,9812,2024-06-22 09:28:56+00:00
298936,9812,2024-06-22 09:16:49+00:00
298935,9812,2024-06-22 09:12:13+00:00
298931,9812,2024-06-22 08:12:04+00:00
298927,9812,2024-06-22 07:37:21+00:00
298926,9812,2024-06-22 07:15:29+00:00
298925,9812,2024-06-22 07:13:20+00:00
298924,9812,2024-06-22 07:04:59+00:00
298921,9812,2024-06-22 06:54:26+00:00
298919,9812,2024-06-22 06:49:49+00:00
298917,9812,2024-06-22 06:09:08+00:00
298916,9812,2024-06-22 05:34:16+00:00
298915,9812,2024-06-22 05:32:42+00:00
298914,9812,2024-06-22 05:28:50+00:00
298913,9812,2024-06-22 05:16:12+00:00
298912,9812,2024-06-22 04:53:12+00:00
298911,9812,2024-06-22 04:26:37+00:00
298910,9812,2024-06-22 04:24:15+00:00
298909,9812,2024-06-22 03:52:03+00:00
298908,9812,2024-06-22 03:17:12+00:00
298907,9812,2024-06-22 03:02:46+00:00
298906,9812,2024-06-22 02:57:32+00:00
298905,9812,2024-06-22 02:51:09+00:00
298904,9812,2024-06-22 01:30:47+00:00
298903,9812,2024-06-22 01:18:44+00:00
298902,9812,2024-06-22 00:57:45+00:00
298901,9812,2024-06-22 00:50:00+00:00
298900,9812,2024-06-22 00:15:11+00:00
298897,9812,2024-06-21 23:39:19+00:00
298896,9812,2024-06-21 23:37:15+00:00
298891,9812,2024-06-21 23:23:08+00:00
298889,9812,2024-06-21 23:04:18+00:00
298885,9812,2024-06-21 22:40:43+00:00
298881,9812,2024-06-21 22:26:20+00:00
298880,9812,2024-06-21 22:23:37+00:00
298879,9812,2024-06-21 21:57:02+00:00
298878,9812,2024-06-21 21:53:03+00:00
298876,9812,2024-06-21 21:31:49+00:00
298875,9812,2024-06-21 21:27:44+00:00
298873,9812,2024-06-21 21:08:16+00:00
298870,9812,2024-06-21 20:43:59+00:00
298869,9812,2024-06-21 20:29:49+00:00
298868,9812,2024-06-21 20:14:42+00:00
298867,9812,2024-06-21 20:12:30+00:00
298866,9812,2024-06-21 19:57:21+00:00
298865,9812,2024-06-21 19:54:29+00:00
298864,9812,2024-06-21 19:52:16+00:00
298863,9812,2024-06-21 19:49:04+00:00
298862,9812,2024-06-21 19:46:25+00:00
298861,9812,2024-06-21 19:41:20+00:00
298860,9812,2024-06-21 19:02:12+00:00
298854,9810,2024-06-21 16:13:24+00:00
298851,9810,2024-06-21 16:07:39+00:00
298850,9810,2024-06-21 16:06:58+00:00
298849,9810,2024-06-21 16:03:39+00:00
298847,9810,2024-06-21 15:54:24+00:00
298846,9810,2024-06-21 15:54:04+00:00
298845,9810,2024-06-21 15:50:02+00:00
298844,9810,2024-06-21 15:40:59+00:00
298842,9810,2024-06-21 15:36:45+00:00
298841,9810,2024-06-21 15:35:54+00:00
298838,9810,2024-06-21 15:28:47+00:00
298834,9810,2024-06-21 14:50:19+00:00
298833,9810,2024-06-21 14:37:40+00:00
298832,9810,2024-06-21 14:30:33+00:00
298831,9810,2024-06-21 14:24:26+00:00
298830,9810,2024-06-21 14:19:54+00:00
298829,9810,2024-06-21 14:14:23+00:00
298827,9810,2024-06-21 14:11:05+00:00
298823,9810,2024-06-21 13:42:50+00:00
298818,9810,2024-06-21 13:25:17+00:00
298817,9810,2024-06-21 13:24:01+00:00
298815,9810,2024-06-21 13:06:05+00:00
298814,9810,2024-06-21 13:01:53+00:00
298813,9810,2024-06-21 12:56:52+00:00
298812,9810,2024-06-21 12:53:52+00:00
298811,9810,2024-06-21 12:52:39+00:00
298810,9810,2024-06-21 12:49:03+00:00
298807,9810,2024-06-21 12:45:50+00:00
298804,9810,2024-06-21 12:39:52+00:00
298803,9810,2024-06-21 12:38:38+00:00
298800,9810,2024-06-21 12:06:18+00:00
298799,9810,2024-06-21 12:01:53+00:00
298797,9810,2024-06-21 11:02:31+00:00
298796,9810,2024-06-21 10:55:02+00:00
298794,9810,2024-06-21 10:33:45+00:00
298793,9810,2024-06-21 10:30:56+00:00
298791,9810,2024-06-21 10:05:05+00:00
298790,9810,2024-06-21 10:00:27+00:00
298789,9810,2024-06-21 09:51:34+00:00
298783,9810,2024-06-21 09:25:33+00:00
298782,9810,2024-06-21 09:13:13+00:00
298781,9810,2024-06-21 09:11:56+00:00
298779,9810,2024-06-21 09:07:59+00:00
298777,9810,2024-06-21 08:43:52+00:00
298776,9810,2024-06-21 08:38:32+00:00
298774,9810,2024-06-21 08:35:19+00:00
298773,9810,2024-06-21 08:35:11+00:00
298772,9810,2024-06-21 08:34:35+00:00
298770,9810,2024-06-21 08:27:37+00:00
298767,9810,2024-06-21 07:52:14+00:00
298764,9810,2024-06-21 07:25:39+00:00
298763,9810,2024-06-21 07:24:31+00:00
298762,9810,2024-06-21 07:24:21+00:00
298761,9810,2024-06-21 07:15:42+00:00
298757,9810,2024-06-21 06:51:11+00:00
298756,9810,2024-06-21 06:26:56+00:00
298755,9810,2024-06-21 06:22:05+00:00
298754,9810,2024-06-21 06:08:12+00:00
298753,9810,2024-06-21 06:02:30+00:00
298752,9810,2024-06-21 05:48:09+00:00
298751,9810,2024-06-21 05:33:22+00:00
298750,9810,2024-06-21 05:16:49+00:00
298749,9810,2024-06-21 05:11:37+00:00
298748,9810,2024-06-21 05:05:22+00:00
298747,9810,2024-06-21 04:54:53+00:00
298746,9810,2024-06-21 04:53:51+00:00
298745,9810,2024-06-21 04:53:26+00:00
298744,9810,2024-06-21 04:52:44+00:00
298743,9810,2024-06-21 04:48:34+00:00
298742,9810,2024-06-21 04:45:28+00:00
298741,9810,2024-06-21 04:42:40+00:00
298740,9810,2024-06-21 04:40:58+00:00
298739,9810,2024-06-21 04:39:14+00:00
298738,9810,
298737,9810,
298724,9808,2024-06-21 00:11:19+00:00
298723,9808,2024-06-20 23:11:09+00:00
298722,9808,2024-06-20 22:10:59+00:00
298720,9808,2024-06-20 21:41:52+00:00
298708,9808,2024-06-20 21:03:00+00:00
298707,9808,
298691,9808,2024-06-20 20:05:47+00:00
298690,9808,2024-06-20 20:00:40+00:00
298688,9808,2024-06-20 19:41:03+00:00
298687,9808,2024-06-20 19:38:48+00:00
298686,9808,2024-06-20 19:28:10+00:00
298625,9808,2024-06-20 17:05:16+00:00
298624,9808,2024-06-20 17:01:39+00:00
298623,9808,2024-06-20 16:51:17+00:00
298622,9808,2024-06-20 16:30:31+00:00
298621,9808,2024-06-20 15:51:25+00:00
298620,9808,2024-06-20 15:49:34+00:00
298614,9808,
298600,9807,
298590,9807,2024-06-20 12:26:00+00:00
298589,9807,2024-06-20 12:22:40+00:00
298588,9807,2024-06-20 12:21:00+00:00
298586,9807,
298585,9807,
298583,9807,
298582,9807,
298581,9807,
298580,9807,
298579,9807,
298576,9807,
298568,9806,2024-06-20 11:31:43+00:00
298562,9806,2024-06-20 11:16:44+00:00
298549,9806,2024-06-20 10:57:40+00:00
298548,9806,2024-06-20 10:54:37+00:00
298546,9806,2024-06-20 10:50:57+00:00
298523,9806,2024-06-20 10:20:38+00:00
298516,9806,2024-06-20 10:10:01+00:00
298509,9806,2024-06-20 09:57:32+00:00
298489,9806,2024-06-20 09:16:07+00:00
298485,9806,2024-06-20 09:11:52+00:00
298476,9806,2024-06-20 08:55:26+00:00
298465,9806,2024-06-20 08:36:20+00:00
298460,9806,
298454,9806,
298427,9806,2024-06-20 07:54:52+00:00
298425,9806,2024-06-20 07:50:21+00:00
298419,9806,2024-06-20 07:35:50+00:00
298414,9806,2024-06-20 07:27:24+00:00
298408,9806,2024-06-20 07:06:05+00:00
298400,9806,2024-06-20 06:52:54+00:00
298399,9806,2024-06-20 06:38:06+00:00
298398,9806,2024-06-20 06:32:50+00:00
298397,9806,2024-06-20 06:19:17+00:00
298396,9806,2024-06-20 06:15:41+00:00
298394,9806,2024-06-20 06:12:53+00:00
298387,9804,2024-06-20 04:09:17+00:00
298386,9804,2024-06-20 04:00:47+00:00
298384,9804,2024-06-20 03:00:45+00:00
298383,9804,2024-06-20 02:20:54+00:00
298381,9804,2024-06-20 02:13:22+00:00
298380,9804,2024-06-20 01:29:58+00:00
298347,9803,2024-06-19 19:00:31+00:00
298346,9803,2024-06-19 18:59:52+00:00
